date,strategy,signal,entry_price,stop_price,target_price,status,exit_price,exit_reason
2026-08-14,breakout,LONG,30273.5,30243.5,30333.5,CLOSED,30243.5,stop
2026-08-14,fade,SHORT,30273.5,30303.5,30213.5,CLOSED,30213.5,target
2026-08-18,breakout,SHORT,29700.75,29730.75,29640.75,CLOSED,29730.75,stop
2026-08-18,fade,LONG,29700.75,29670.75,29760.75,CLOSED,29670.75,stop
2026-08-20,breakout,SHORT,29275.5,29305.5,29215.5,CLOSED,29305.5,stop
2026-08-20,fade,LONG,29275.5,29245.5,29335.5,CLOSED,29335.5,target
2026-08-24,breakout,SHORT,29198.75,29228.75,29138.75,CLOSED,29228.75,stop
2026-08-24,fade,LONG,29198.75,29168.75,29258.75,CLOSED,29168.75,stop
2026-08-25,breakout,LONG,29362.25,29332.25,29422.25,CLOSED,29332.25,stop
2026-08-25,fade,SHORT,29362.25,29392.25,29302.25,CLOSED,29302.25,target
2026-09-01,breakout,SHORT,29162.75,29192.75,29102.75,CLOSED,29102.75,target
2026-09-01,fade,LONG,29162.75,29132.75,29222.75,CLOSED,29132.75,stop
2026-09-14,breakout,SHORT,28915.0,28945.0,28855.0,CLOSED,28855.0,target
2026-09-14,fade,LONG,28915.0,28885.0,28975.0,CLOSED,28885.0,stop
2026-09-21,breakout,LONG,30230.5,30200.5,30290.5,CLOSED,30290.5,target
2026-09-21,fade,SHORT,30230.5,30260.5,30170.5,CLOSED,30260.5,stop
